seq,frames,rgb_valid%,depth_valid%,both,RMSE_all,RMSE_kept,corr,mean_diff,type
adl-01,150,90.7,61.3,92,34.7,8.9,0.8,10.0,adl
adl-02,180,77.2,54.4,98,29.1,14.4,0.9,19.0,adl
adl-03,180,97.8,73.3,132,19.2,5.4,0.9,5.1,adl
adl-04,150,100.0,68.7,103,11.1,6.9,0.5,5.3,adl
adl-05,180,98.3,81.7,147,35.3,7.3,0.4,15.7,adl
adl-06,230,89.1,62.2,143,22.3,5.3,0.6,10.1,adl
adl-07,180,97.8,76.1,137,41.5,10.6,0.8,19.9,adl
adl-08,180,87.2,62.2,112,35.8,11.8,0.9,13.0,adl
adl-09,150,100.0,58.0,87,27.2,9.9,0.8,13.2,adl
adl-10,300,98.3,56.0,168,39.7,11.7,0.8,22.3,adl
adl-11,300,95.0,62.7,188,20.4,8.9,1.0,5.8,adl
adl-12,250,74.4,60.8,152,42.4,10.7,0.7,23.6,adl
adl-13,265,58.1,49.8,132,39.2,9.7,0.6,18.3,adl
adl-14,235,74.5,57.4,135,41.5,10.5,0.6,20.7,adl
adl-15,275,74.9,56.0,154,50.8,10.5,0.7,27.8,adl
adl-16,240,67.1,60.0,144,53.5,10.8,0.4,35.0,adl
adl-17,230,70.4,60.4,139,43.9,4.7,0.4,18.8,adl
adl-18,265,64.9,51.7,137,44.6,12.0,0.6,29.9,adl
adl-19,250,44.4,31.6,79,106.5,8.4,0.2,88.6,adl
adl-20,270,71.9,60.0,162,51.8,11.1,0.4,34.0,adl
adl-21,280,57.1,43.9,123,40.5,10.3,0.5,25.9,adl
adl-22,240,49.6,40.8,98,48.9,9.8,0.6,31.1,adl
adl-23,220,55.5,41.8,92,60.7,10.2,0.5,39.7,adl
adl-24,70,100.0,87.1,61,37.7,14.0,0.9,13.9,adl
adl-25,110,100.0,77.3,85,43.1,8.0,0.6,36.3,adl
adl-26,95,100.0,93.7,89,20.7,10.2,1.0,14.2,adl
adl-27,100,100.0,77.0,77,32.7,14.4,0.4,26.3,adl
adl-28,85,100.0,98.8,84,22.8,11.5,0.2,18.6,adl
adl-29,125,100.0,97.6,122,28.7,9.6,0.9,22.2,adl
adl-30,400,55.8,48.8,195,91.5,10.8,0.2,45.8,adl
adl-31,250,97.6,85.6,214,31.5,13.0,0.9,12.4,adl
adl-32,200,100.0,85.0,170,35.7,11.2,0.9,13.0,adl
adl-33,200,92.5,90.5,181,59.2,9.7,0.7,32.0,adl
adl-34,191,96.3,86.4,165,43.4,11.9,0.8,8.4,adl
adl-35,280,100.0,82.9,232,53.3,13.6,0.5,15.1,adl
adl-36,340,86.5,73.2,249,57.6,9.3,0.5,27.3,adl
adl-37,350,90.9,74.6,261,62.8,10.6,0.3,37.7,adl
adl-38,345,55.9,45.5,157,54.7,9.8,0.7,31.5,adl
adl-39,270,76.3,61.9,167,90.0,11.9,0.1,62.1,adl
adl-40,330,80.3,63.3,209,88.4,11.8,0.3,55.6,adl
fall-01,160,86.2,75.0,120,25.1,12.1,0.9,11.9,fall
fall-02,110,100.0,95.5,105,18.0,6.9,0.6,-9.9,fall
fall-03,215,100.0,81.9,176,36.2,11.6,0.7,25.3,fall
fall-04,96,100.0,88.5,85,16.7,10.8,0.8,-7.3,fall
fall-05,151,98.0,88.7,134,22.9,10.2,0.9,3.5,fall
fall-06,100,100.0,100.0,100,33.0,9.2,0.8,13.2,fall
fall-07,156,100.0,98.1,153,18.7,11.6,1.0,9.2,fall
fall-08,91,100.0,100.0,91,26.6,10.1,0.7,18.0,fall
fall-09,185,100.0,99.5,184,14.5,11.1,1.0,5.9,fall
fall-10,130,100.0,98.5,128,26.9,9.2,0.6,-17.8,fall
fall-11,130,100.0,88.5,115,14.3,8.6,1.0,6.6,fall
fall-12,110,100.0,100.0,110,16.6,12.1,0.9,5.9,fall
fall-13,85,98.8,68.2,58,55.9,13.7,0.3,47.1,fall
fall-14,61,100.0,95.1,58,9.1,9.1,0.9,7.4,fall
fall-15,71,83.1,73.2,52,44.9,13.3,0.7,31.0,fall
fall-16,55,100.0,100.0,55,10.0,8.9,0.8,7.0,fall
fall-17,95,88.4,84.2,80,45.3,13.8,0.6,31.9,fall
fall-18,65,96.9,63.1,41,10.1,10.1,0.2,-1.7,fall
fall-19,100,52.0,50.0,50,28.4,11.5,0.9,15.3,fall
fall-20,110,100.0,88.2,97,28.8,6.3,0.8,-9.5,fall
fall-21,55,87.3,85.5,47,37.7,11.1,0.8,24.8,fall
fall-22,56,100.0,55.4,31,7.6,7.6,0.9,1.8,fall
fall-23,75,92.0,85.3,64,19.8,12.6,1.0,12.6,fall
fall-24,60,96.7,78.3,47,12.5,9.7,0.8,2.0,fall
fall-25,85,100.0,92.9,79,32.0,14.1,0.9,20.6,fall
fall-26,61,91.8,91.8,56,19.9,8.9,0.8,-3.1,fall
fall-27,92,100.0,96.7,89,27.8,13.6,0.8,13.8,fall
fall-28,66,100.0,98.5,65,23.3,4.3,0.1,-8.6,fall
fall-29,99,78.8,78.8,78,27.9,12.8,0.9,15.4,fall
fall-30,70,75.7,75.7,53,14.5,4.3,0.8,-0.2,fall
